from,to,width,,
A,SDG_12,67,,
B,SDG_9,68,,
C,SDG_17,69,,
D,SDG_9,69,,
E,SDG_4,72,,
F,SDG_8,69,,
G,SDG_2,64,,
H,SDG_17,71,,
I,SDG_11,72,,
J,SDG_15,65,,
K,SDG_11,69,,
L,SDG_6,72,,
M,SDG_4,69,,
N,SDG_8,71,,
O,SDG_9,72,,
P,SDG_16,70,,
Q,SDG_7,71,,
R,SDG_4,69,,
S,SDG_12,71,,
T,SDG_14,70,,
U,SDG_2,66,,
V,SDG_5,33,,
W,SDG_9,71,,
X,SDG_2,71,,
Y,SDG_14,69,,
Z,SDG_15,71,,
AA,SDG_15,72,,
AB,SDG_15,71,,
AC,SDG_14,70,,
AD,SDG_12,70,,
AE,SDG_6,71,,
AF,SDG_17,72,,
AG,SDG_16,67,,
AH,SDG_8,72,,
AI,SDG_3,65,,
AJ,SDG_16,72,,
AK,SDG_15,72,,
AL,SDG_14,72,,
AM,SDG_16,71,,
AN,SDG_14,62,,
AO,SDG_15,67,,
AP,SDG_9,72,,
AQ,SDG_1,63,,
AR,SDG_11,70,,
AS,SDG_16,72,,
AT,SDG_11,68,,
AU,SDG_15,72,,
AV,SDG_11,69,,
AW,SDG_9,72,,
AX,SDG_8,70,,
AY,SDG_6,72,,
