Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Link
18SG Green Energy Pvt. Ltd.,,"18, Noble House, 18th Road, Khar - West, Mumbai 400 052",+91 22 26059112,www.18sg.co.in,India,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,"18 Dec 2019
Update Above Information",,https://www.enfsolar.com/18sg-green-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120456&utm_campaign=profiles_installer
21st Century Enviro Engineers Pvt Ltd,,"Plot No.120 (10Marla), Industrial Area, Phase-II, Chandigarh 160 002",+91 72 5014444,www.21stcenturyenviro.com,India,,,,,,,,,1(M)Wp+ Installations,Design,,,,,,,,,,,,,,,,,,,,,,,,1(M)Wp+ Installations,Design,India,,,,,,,,,,,,,,,,"26 Jan 2021
Update Above Information",,https://www.enfsolar.com/21st-century-enviro-engineers?directory=installer&utm_source=ENF&utm_medium=India&utm_content=94289&utm_campaign=profiles_installer
24×7 Electrician Services,,"Shop No. 31, First Floor, Aakash Mall, Aerodrome Circle, Kota 324007",+91 80030 67269,https://24x7electricianservices.wordpress.com,India,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,"16 Mar 2020
Update Above Information",,https://www.enfsolar.com/24-7-electrician-services?directory=installer&utm_source=ENF&utm_medium=India&utm_content=110151&utm_campaign=profiles_installer
360GroupTM,,"Chennai,Tamilnadu",+91 96297 95499,www.360groupindia.in,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,Design,India,,,,,,,,,,,,,,,"5 Oct 2020
Update Above Information",,https://www.enfsolar.com/360-group?directory=installer&utm_source=ENF&utm_medium=India&utm_content=116599&utm_campaign=profiles_installer
365Solar,,"Plot No 15B, G-1, 2nd Street, Venkatachalam Nagar Thirumullaivoyal, Chennai 600 062",+91 63822 57266,365solar.xyz/,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,Design,India,,,,,,,,,,,,,,,"29 Apr 2020
Update Above Information",,https://www.enfsolar.com/365solar?directory=installer&utm_source=ENF&utm_medium=India&utm_content=123811&utm_campaign=profiles_installer
3dot Energy,,"892D/16, SM Nagar, Melur, Madurai (Dt.), Tamil Nadu",+91 9786 840041,www.3dotenergy.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,Design,India,,,,,,,,,,,,,,,"10 Jan 2020
Update Above Information",,https://www.enfsolar.com/3dot-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=89609&utm_campaign=profiles_installer
Fourth Partner Energy,,"Plot No: N46, House No: 4-9-10, 1st Left after HMT Nagar Arch, HMT Nagar, Hyderabad – 500076",+91 40 27158865,www.fourthpartner.co,India,,,,,,,,,,,Off-grid,(S)maller Installations,,,,Off-grid,(S)maller Installations,"Evaluation, Design, Monitoring",India,Vikram Solar Limited,"SMA Solar Technology AG, Fronius International GmbH, Schneider Electric SA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19 Feb 2021
Update Above Information",https://www.enfsolar.com/4pel?directory=installer&utm_source=ENF&utm_medium=India&utm_content=60579&utm_campaign=profiles_installer
4S Solutions,,"7 Nav Arihant, Sector-9, Airoli, Navi Mumbai- 400 708",+91 869 1015552,www.4ssolutions.in,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,REC Group,ABB Italy S.p.A.,,,,,,,,,,,,,,"13 Feb 2020
Update Above Information",,https://www.enfsolar.com/4s-solutions?directory=installer&utm_source=ENF&utm_medium=India&utm_content=121167&utm_campaign=profiles_installer
5M Energy Solutions,,"502, Plot No 53, Sun View Apartment, Sector 27, Nerul East, Navi Mumbai, Maharashtra - 400706",www.5mesolutions.com,India,,,,,,,,,,(S)maller Installations,Design,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,Design,India,,,,,,,,,,,,,,,,"13 Feb 2020
Update Above Information",,https://www.enfsolar.com/5m-energy-solutions?directory=installer&utm_source=ENF&utm_medium=India&utm_content=121131&utm_campaign=profiles_installer
7 SLR Soluction,,"B32, Mahavir Market, Plot No.:1, Sector 18, Vashi, Navi Mumbai – 400705",+91 75073 54356,7slrsoluction.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,SMA Solar Technology AG,,,,,,,,,,,,,,,"28 Nov 2019
Update Above Information",,https://www.enfsolar.com/7-slr-soluction?directory=installer&utm_source=ENF&utm_medium=India&utm_content=119916&utm_campaign=profiles_installer
7E Future Energy Pvt. Ltd.,,"B-202, Circle P, Prahaladhnagar, S. G. Highway Ahmedabad, 380015, Gujarat",+91 79 65255777,7efe.com,India,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations","Evaluation, Design, Monitoring",India,,,,,,,,,,,,,,,"10 Apr 2020
Update Above Information",,https://www.enfsolar.com/7e-future-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=123456&utm_campaign=profiles_installer
Seven Greens Solar Systems Pvt. Ltd.,,"427/9, Bhagyoday CHS, MHB Colony, Bandra E, Mumbai, Maharashtra",+91 9820 364573,7greens.in,India,,,,,,,,,Off-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,Off-grid,(S)maller Installations,Design,India,,,,,,,,,,,,,,,"28 Dec 2020
Update Above Information",,https://www.enfsolar.com/seven-greens-solar-systems?directory=installer&utm_source=ENF&utm_medium=India&utm_content=80649&utm_campaign=profiles_installer
7Parallels Techno-Consultants Pvt. Ltd.,,"1st Floor, Unit 1.6, Lotus Star, Plot No. D-5, Road No. 20, MIDC, Andheri East, Mumbai 400069",+91 22 62215118,www.7parallels.com,India,,,,,,,,,(S)maller Installations,Evaluation,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,Evaluation,India,,,,,,,,,,,,,,,,"20 Jan 2020
Update Above Information",,https://www.enfsolar.com/7parallels?directory=installer&utm_source=ENF&utm_medium=India&utm_content=90225&utm_campaign=profiles_installer
8 Green Technologies,,"Plot #30, Ramalayam Road, Prathampuri Sainikpuri, Hyderabad, 500062",+91 720 7730611,8greentech.com,India,,,,,,,,,Off-grid,"(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,Off-grid,"(S)maller Installations, 1(M)Wp+ Installations",India,,,,,,,,,,,,,,,,"5 Mar 2021
Update Above Information",,https://www.enfsolar.com/8-green-technologies?directory=installer&utm_source=ENF&utm_medium=India&utm_content=87142&utm_campaign=profiles_installer
A & S Infrastructure,,"A-301, 3rd Floor, Harmony CHS Ltd., Near Collector Office, Next to Sanmitra Press, Near Court Naka, Thane (W) 400601",+91 98198 14117,www.aandsinfrastructure.com,India,,,,,,,,,On-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,On-grid,(S)maller Installations,India,,,,,,,,,,,,,,,,"18 Jun 2020
Update Above Information",,https://www.enfsolar.com/a-s-infrastructure?directory=installer&utm_source=ENF&utm_medium=India&utm_content=113465&utm_campaign=profiles_installer
A-2 Solar Solutions,,"House no.1373, Behind TVS Showroom Garima Nagar, Rasuliya, Hoshangabad, Madhya Pradesh, 461001",+91 79872 18920,https://a2solarsolutions.business.site,India,,,,,,,,,On-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,On-grid,(S)maller Installations,Design,India,,,,,,,,,,,,,,,"11 Jun 2020
Update Above Information",,https://www.enfsolar.com/a-2-solar-solutions?directory=installer&utm_source=ENF&utm_medium=India&utm_content=124775&utm_campaign=profiles_installer
A-One Energies Pvt Ltd,,"SCO 110, Ground Floor, Sector 47-C, Chandigarh (UT), 160047",+91 172 5001222,aoneenergies.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,Waaree Energies Ltd,,,,,,,,,,,,,,,"15 May 2020
Update Above Information",,https://www.enfsolar.com/a-one-energies?directory=installer&utm_source=ENF&utm_medium=India&utm_content=124265&utm_campaign=profiles_installer
A. S. Enterprises,,"T-16 Super Mall, Salunke Vihar Rd. Wanwadi, Pune - 411040",+91 40052868,Click to get email address,www.asentpune.com,India,"Business Details
On-Grid / Off-Grid Off-grid
Installation size (S)maller Installations
Other Services Design
Operating Area India
Panel Suppliers Su-Kam Power Systems Ltd.",,,,,,,,,,,Off-grid,(S)maller Installations,Design,,,,,,,,,,Off-grid,(S)maller Installations,Design,India,Su-Kam Power Systems Ltd.,,,,,,,Design,India,Su-Kam Power Systems Ltd.,,,,,,,,,,,,,,"19 Dec 2019
Update Above Information",,https://www.enfsolar.com/a-s-enterprises?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120503&utm_campaign=profiles_installer
A2Z Green Energy Pvt. Ltd.,,"254, N.S. Road, Howrah, West Bengal, 711101",+91 98305 37626,a2zgreenenergy.com/,India,,,,,,,,,Off-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,Off-grid,(S)maller Installations,Design,India,Fimer S.p.A.,A2Z Tea Mach,,,,,,,,,,,,,"19 Aug 2020
Update Above Information",,https://www.enfsolar.com/a2z-green-energy-pvt-ltd?directory=installer&utm_source=ENF&utm_medium=India&utm_content=126210&utm_campaign=profiles_installer
Aaapurti India,,+91 98 4573434653,www.aaapurtiindia.com,India,,,,,,,,,,Off-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,Off-grid,(S)maller Installations,"Evaluation, Design, Monitoring",India,,,,,,,,,,,,,,,"18 Jan 2021
Update Above Information",,https://www.enfsolar.com/aaapurti-india?directory=installer&utm_source=ENF&utm_medium=India&utm_content=121278&utm_campaign=profiles_installer
Aadhavan Green Energy,,"#18/21 Sree Complex, Old Raja Theatre Building, Madurai Road, Trichy, Tamilnadu, 620008",+91 94878 00700,aadhavangreen.in,India,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,"15 Sep 2020
Update Above Information",,https://www.enfsolar.com/aadhavan-green-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=83908&utm_campaign=profiles_installer
Aadi Anant Enterprises,,"Lakkar Mandi, Batala, Punjab.",+91 1871 500266,https://aadianant.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,,,,,,,,,,,,,,,,"31 Dec 2019
Update Above Information",,https://www.enfsolar.com/aadi-anant-enterprises?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120847&utm_campaign=profiles_installer
Aadithya Innovations,,"TC 56/60, 10, SRK Building, Pappanamcode, Trivandrum, Kerala, 695018",+91 97479 84800,aadithyainnovations.com/,India,,,,,,,,,Off-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,Off-grid,(S)maller Installations,India,"Waaree Energies Ltd, Vikram Solar Limited, Luminous Power Technologies Pvt. Ltd.","SMA Solar Technology AG, Fronius International GmbH, Waaree Energies Ltd, Delta Energy Systems (Germany) GmbH, Luminous Power Technologies Pvt. Ltd.",,,,,,,,,,,,,,"11 Mar 2021
Update Above Information",,https://www.enfsolar.com/aadithya-innovations?directory=installer&utm_source=ENF&utm_medium=India&utm_content=130561&utm_campaign=profiles_installer
Aakar Infra,,"7, Kanchanchanga Apart, Plot No-19 Ip Extension Delhi-110092",+91 9899 227007,www.aakarinfra.co,India,,,,,,,,,2013,"On-grid, Off-grid",,,,,,,,,,,,,,,,,,,,,,,,2013,"On-grid, Off-grid",(S)maller Installations,India,,,,,,,,,,,,,,,"7 Jan 2020
Update Above Information",,https://www.enfsolar.com/aakar-infra?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120898&utm_campaign=profiles_installer
Aanchal Solar System,,"Sethi Complex, Hall Bazar, Amritsar",+91 1852 500378,aanchalsolarsystem.com,India,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,"4 Mar 2020
Update Above Information",,https://www.enfsolar.com/aanchal-solar-system?directory=installer&utm_source=ENF&utm_medium=India&utm_content=122637&utm_campaign=profiles_installer
Aanjney Solar,,"G/F 5, Kankavati Complex, Opp RIL, Cricket Ground, At & Post Undera, Vadodara, 391330",+91 70463 95153,www.aanjneysolar.com,India,,,,,,,,,Off-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,Off-grid,(S)maller Installations,India,"Shenzhen Growatt New Energy Technology Co., Ltd., Fujiyama Power Systems Pvt. Ltd.",,,,,,,,,,,,,,,"21 Oct 2020
Update Above Information",,https://www.enfsolar.com/aanjney-solar?directory=installer&utm_source=ENF&utm_medium=India&utm_content=127598&utm_campaign=profiles_installer
